loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2528,0.028832651674747467,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.12341256439685822,0.9905647091958879,0.9779952301239346,0.990906745409591,0.9905647091958879,0.9905516231339762,0.9901154973847499,0.9779952301239346,0.9832809797003357,112.4444,126.302,7.897,,,,,
0.0547,0.05494135245680809,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.016498517245054245,0.9988029854950007,0.9989317908287122,0.9988065572678219,0.9988029854950007,0.9988035468200357,0.9988436882590499,0.9989317908287122,0.9988864870588792,113.2046,125.454,7.844,,,,,
0.0129,0.034830737859010696,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.00760143855586648,0.9995071116744121,0.9994857741744965,0.9995072331882507,0.9995071116744121,0.9995069864879361,0.9995796277794342,0.9994857741744965,0.9995325279194562,112.5547,126.179,7.889,,,,,
,,,3.0,23967,,,,,,,,,,,,,5439.3334,70.497,4.406,1.0090276279498138e+17,0.10677431267084853
