loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2291,0.029338274151086807,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.06924180686473846,0.9940853400929447,0.9846179216502364,0.994265938606545,0.9940853400929447,0.9940669088045127,0.9941231027888037,0.9846179216502364,0.9888040487316743,112.5224,126.215,7.892,,,,,
0.0381,0.014365645125508308,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.012441715225577354,0.9990846359667652,0.9993889150258721,0.999087506193452,0.9990846359667652,0.9990848265548662,0.9991100409756946,0.9993889150258721,0.9992484384383503,113.1193,125.549,7.85,,,,,
0.0095,0.03982015326619148,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.007905617356300354,0.9995071116744121,0.9996998442222799,0.9995088420684178,0.9995071116744121,0.9995073452838656,0.9995584955527886,0.9996998442222799,0.9996286249114366,112.5958,126.133,7.887,,,,,
,,,3.0,23967,,,,,,,,,,,,,5437.1158,70.525,4.408,1.0090276279498138e+17,0.0922204685851819
