loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1704,0.015894358977675438,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.05176163837313652,0.9966906069567667,0.9854767013961285,0.9967197336401895,0.9966906069567667,0.996646379703775,0.9971762174611002,0.9854767013961285,0.990895040354404,112.1747,126.606,7.916,,,,,
0.0346,0.03166356682777405,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.011626374907791615,0.9992958738205886,0.9989614094137255,0.9992971221436316,0.9992958738205886,0.9992957302336113,0.9993418421863961,0.9989614094137255,0.9991497521776852,113.1077,125.562,7.851,,,,,
0.0103,0.03586730733513832,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.008694635704159737,0.9995071116744121,0.9990338566659803,0.99950733706558,0.9995071116744121,0.9995069274007744,0.999580390043582,0.9990338566659803,0.9993055744885179,111.5227,127.346,7.963,,,,,
,,,3.0,23967,,,,,,,,,,,,,5436.2117,70.537,4.409,1.0090276279498138e+17,0.07174865497279218
