loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1736,0.031222788617014885,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.024046536535024643,0.9981692719335304,0.9961486211982111,0.9981793186051001,0.9981692719335304,0.9981693648814806,0.9981844394158027,0.9961486211982111,0.9971486216198405,112.5857,126.144,7.887,,,,,
0.0367,0.03154405578970909,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.011243284679949284,0.9992254612026475,0.9986088032336606,0.9992294670772037,0.9992254612026475,0.999225788114487,0.9992028364640888,0.9986088032336606,0.9989022274281997,113.305,125.343,7.837,,,,,
0.0108,0.02986692078411579,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.005176436621695757,0.9996479369102943,0.9990511257292752,0.999648696539018,0.9996479369102943,0.9996478787943698,0.999641429231432,0.9990511257292752,0.9993439798096475,112.6599,126.061,7.882,,,,,
,,,3.0,23967,,,,,,,,,,,,,5438.3215,70.51,4.407,1.0090276279498138e+17,0.07371295332565432
