model_label,class_name,metric,n_folds,mean,std,ci95_low,ci95_high
0,Normal,precision,10,0.9992598842363037,0.0009447013889210813,0.9985840855736423,0.9999356828989652
0,Normal,recall,10,0.9989712611281238,0.0006506030717664662,0.9985058477276785,0.9994366745285692
0,Normal,f1,10,0.9991152386686608,0.0005573145188472298,0.9987165598787959,0.9995139174585257
1,MITM,precision,10,0.9975806451612904,0.007650671758471878,0.9921076842834176,1.0030536060391633
1,MITM,recall,10,0.9991735537190083,0.002613452611709396,0.9973040023447487,1.0010431050932678
1,MITM,f1,10,0.9983605724447455,0.0039479619686594285,0.9955363705858856,1.0011847743036053
2,Fingerprinting,precision,10,1.0,0.0,1.0,1.0
2,Fingerprinting,recall,10,0.9651782178217821,0.07097419473153745,0.9144063374736155,1.0159500981699487
2,Fingerprinting,f1,10,0.9810192265676208,0.038807121695863825,0.9532582840609546,1.0087801690742868
3,Ransomware,precision,10,0.993286061930385,0.011369034284532719,0.9851531447405264,1.0014189791202437
3,Ransomware,recall,10,0.9994505494505495,0.0011583434652631386,0.998621920453167,1.000279178447932
3,Ransomware,f1,10,0.9963332300142959,0.006193704456369787,0.991902520757781,1.0007639392708108
4,Uploading,precision,10,0.9995134292393318,0.0008270609370286774,0.9989217854863552,1.0001050729923084
4,Uploading,recall,10,0.9997078870496592,0.0006572040484036462,0.9992377515949902,1.0001780225043282
4,Uploading,f1,10,0.9996105160431327,0.0006409742965989694,0.9991519906534996,1.0000690414327658
5,SQL_injection,precision,10,0.9995155976796717,0.00094163761867597,0.9988419907062134,1.00018920465313
5,SQL_injection,recall,10,0.9997090203685742,0.0006546542751799736,0.9992407089117894,1.000177331825359
5,SQL_injection,f1,10,0.9996122151294371,0.0007509420421012028,0.999075023553623,1.0001494067052512
6,DDoS_HTTP,precision,10,0.9993373891348514,0.0010032784695250354,0.9986196869530473,1.0000550913166555
6,DDoS_HTTP,recall,10,0.9996212121212121,0.001197832447033476,0.9987643344080098,1.0004780898344146
6,DDoS_HTTP,f1,10,0.9994791440674774,0.0010341778990570923,0.9987393377653664,1.0002189503695884
7,DDoS_TCP,precision,10,0.9999025341130604,0.0003082141968975116,0.9996820509587862,1.0001230172673348
7,DDoS_TCP,recall,10,1.0,0.0,1.0,1.0
7,DDoS_TCP,f1,10,0.9999512432959532,0.00015418223599064946,0.9998409479686565,1.0000615386232499
8,Password,precision,10,0.9997995989971917,0.00042248267461466823,0.9994973730982457,1.0001018248961377
8,Password,recall,10,0.9984984984984985,0.001510741597954201,0.997417779063238,0.9995792179337589
8,Password,f1,10,0.9991480704261896,0.0007855031189632891,0.9985861553453638,0.9997099855070154
9,Port_Scanning,precision,10,0.9966798750685454,0.0070140630983009595,0.9916623165921378,1.0016974335449529
9,Port_Scanning,recall,10,0.9998013902681231,0.0004187060788041597,0.9995018659830712,1.000100914553175
9,Port_Scanning,f1,10,0.99822664169073,0.0034902534888973853,0.9957298647537974,1.0007234186276628
10,Vulnerability_scanner,precision,10,0.9999005964214712,0.0003143417157224894,0.9996757299042889,1.0001254629386536
10,Vulnerability_scanner,recall,10,0.998709627843193,0.0014078002943665642,0.9977025481803654,0.9997167075060205
10,Vulnerability_scanner,f1,10,0.9993043226753718,0.0007484734767474915,0.9987688970048314,0.9998397483459123
11,Backdoor,precision,10,0.9984316725951388,0.0016732880620801104,0.9972346744242219,0.9996286707660557
11,Backdoor,recall,10,0.9934284862129346,0.012929158836971289,0.984179523150287,1.0026774492755821
11,Backdoor,f1,10,0.9958813308616034,0.006316880684708425,0.9913625066394929,1.0004001550837138
12,XSS,precision,10,0.9988087298092143,0.0014613891035041302,0.9977633150216865,0.9998541445967422
12,XSS,recall,10,0.9994031828926937,0.0008387138959036423,0.9988032031151106,1.0000031626702768
12,XSS,f1,10,0.9991051690916926,0.0008043223360570524,0.9985297915539535,0.9996805466294316
13,DDoS_UDP,precision,10,0.9999310344827587,0.0002180881144943784,0.9997750236439411,1.0000870453215762
13,DDoS_UDP,recall,10,1.0,0.0,1.0,1.0
13,DDoS_UDP,f1,10,0.9999655053466713,0.0001090816716167007,0.9998874730195635,1.000043537673779
14,DDoS_ICMP,precision,10,1.0,0.0,1.0,1.0
14,DDoS_ICMP,recall,10,1.0,0.0,1.0,1.0
14,DDoS_ICMP,f1,10,1.0,0.0,1.0,1.0
