model,bert_Precision_RAG_Mean,bert_Precision_NC_Mean,bert_Precision_Abs_Diff,bert_Precision_Pct_Improvement,bert_Recall_RAG_Mean,bert_Recall_NC_Mean,bert_Recall_Abs_Diff,bert_Recall_Pct_Improvement,bert_F1_RAG_Mean,bert_F1_NC_Mean,bert_F1_Abs_Diff,bert_F1_Pct_Improvement,rouge1_RAG_Mean,rouge1_NC_Mean,rouge1_Abs_Diff,rouge1_Pct_Improvement,rouge2_RAG_Mean,rouge2_NC_Mean,rouge2_Abs_Diff,rouge2_Pct_Improvement,rougeL_RAG_Mean,rougeL_NC_Mean,rougeL_Abs_Diff,rougeL_Pct_Improvement,bleu_RAG_Mean,bleu_NC_Mean,bleu_Abs_Diff,bleu_Pct_Improvement,meteor_RAG_Mean,meteor_NC_Mean,meteor_Abs_Diff,meteor_Pct_Improvement
gemma2:9b,92.80718997066802,79.66527321174325,13.141916758924765,16.496418362860204,94.54145095116282,88.07255731492405,6.468893636238761,7.344959466894683,93.61668995422781,83.63209935997533,9.98459059425248,11.938706155487122,70.4193023189442,16.329533340722573,54.08976897822163,331.2389144846694,61.632290845366725,6.104399726375206,55.52789111899152,909.6372060806049,66.45087197190794,11.777301522545105,54.67357044936284,464.22833231111616,48.200834300240274,1.0374081574305867,47.16342614280969,4546.274849006613,67.62454061438517,20.39066786382521,47.233872750559954,231.64455949163334
llama3.1:8b,89.10025050627132,79.64505765501504,9.455192851256285,11.87166301292886,93.8959236841248,87.998297772716,5.897625911408795,6.701977266243624,91.39275073897018,83.59184675414156,7.800903984828622,9.332134996098919,60.432450382023276,13.431096547782149,47.00135383424113,349.94427794506754,50.920094545848336,5.360746851542521,45.55934769430581,849.8694110354494,55.65746591706214,10.037567391065569,45.619898525996575,454.49157897164224,34.42796179814133,1.069491024857496,33.358470773283834,3119.0977762275916,65.55660827632131,19.58606007153292,45.97054820478839,234.7105443202619
llava:7b,89.17479696340112,83.50218849249877,5.672608470902347,6.7933650282853755,93.67498092020004,89.12956354083288,4.545417379367166,5.0997864219146285,91.32560258044296,86.19929929382135,5.1263032866216065,5.947035914001974,49.322218972511685,19.995436242912557,29.326782729599127,146.66738136305526,38.62622877843046,7.847961591900847,30.77826718652961,392.181674516514,43.90272259578264,14.874141011574807,29.028581584207835,195.16139830608222,23.405977710246717,1.8737589429279875,21.532218767318728,1149.145617080919,56.212581255691994,24.430759379623044,31.78182187606895,130.08937373668869
mistral:7b,89.52522912978262,81.60611055566149,7.9191185741211285,9.704075491650464,93.84878288409442,88.7733963085057,5.075386575588723,5.717238256775394,91.58778005384333,85.01605443755545,6.571725616287878,7.7299818954957855,56.48610512191391,16.883711856153898,39.602393265760014,234.559755598562,44.815412104879584,6.605078045461463,38.21033405941812,578.4993575613165,50.83382841249957,12.371387267546915,38.462441144952656,310.89836825211,27.350700617046698,1.451246632402352,25.899453984644346,1784.6349067333324,62.22422415265042,22.650657555262605,39.57356659738782,174.71266121452348
