loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1756,0.03533640131354332,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.07039538770914078,0.9952823545979439,0.9943202486789958,0.9958897453039653,0.9952823545979439,0.9954336342645589,0.980498492881527,0.9943202486789958,0.9862734825660225,112.4297,126.319,7.898,,,,,
0.0271,0.07152629643678665,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.004041415173560381,0.9996479369102943,0.999739679336947,0.9996481314364906,0.9996479369102943,0.9996479359926889,0.9996822067505812,0.999739679336947,0.9997108508374506,113.4813,125.148,7.825,,,,,
0.0117,0.027057139202952385,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.0016837981529533863,0.9998591747641177,0.9998968952006957,0.9998591747641177,0.9998591747641177,0.9998591747641177,0.9998968952006957,0.9998968952006957,0.9998968952006957,111.6375,127.215,7.954,,,,,
,,,3.0,23967,,,,,,,,,,,,,5435.0575,70.552,4.41,1.0090276279498138e+17,0.07145022108442728
