loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1575,0.027204789221286774,3.404355051774833e-05,1.0,7989,,,,,,,,,,,,,,,,,
,,,1.0,7989,0.031345050781965256,0.9980988593155894,0.9984054729667572,0.9981112023579917,0.9980988593155894,0.9980999408194648,0.9975955115646847,0.9984054729667572,0.9979943576000048,112.3757,126.38,7.902,,,,,
0.0281,0.026260413229465485,1.7021775258874165e-05,2.0,15978,,,,,,,,,,,,,,,,,
,,,2.0,15978,0.012018362060189247,0.998943810730883,0.9993916460133974,0.9989520723992085,0.998943810730883,0.9989447988487655,0.9989257382387333,0.9993916460133974,0.9991560409610699,113.3967,125.242,7.831,,,,,
0.008,0.023666556924581528,0.0,3.0,23967,,,,,,,,,,,,,,,,,
,,,3.0,23967,0.008421911858022213,0.9995071116744121,0.9995923296108479,0.9995085752043157,0.9995071116744121,0.999507374072303,0.9988348370536343,0.9995923296108479,0.9992112958197765,112.441,126.306,7.897,,,,,
,,,3.0,23967,,,,,,,,,,,,,5438.8589,70.503,4.407,1.0090276279498138e+17,0.0645587669821721
